sku,kind,name,price_usd,price_cents,source_file,description_preview
ACQ-001,sku,STR Deal Analyzer (Lite),47,4700,copy/etsy-listings/ACQ-001-str-deal-analyzer.md,"Run your rentals before they run you. STR deal analyzer for Airbnb and VRBO acquisitions. Yes/no on a property in 10 minutes. Cash-on-cash, cap rate, DSCR, IRR,"
ACQ-002,sku,Cost-to-Launch Calculator,27,2700,copy/etsy-listings/ACQ-002-cost-to-launch.md,"Run your rentals before they run you. Cost-to-launch calculator for first-time Airbnb and STR hosts. All-in budget across acquisition, furnishing, launch, and 9"
ACQ-003,sku,Rental Arbitrage Analyzer,47,4700,copy/etsy-listings/ACQ-003-rental-arbitrage-analyzer.md,"Run your rentals before they run you. Rental arbitrage deal analyzer for STR operators leasing units to sublet on Airbnb. Lease math, stress test, MTR fallback."
ACQ-004,sku,3-Property Side-by-Side Comparison,27,2700,copy/etsy-listings/ACQ-004-3-property-side-by-side.md,Underwrite three Airbnb / STR deals at once. Pick the winner per metric. Side-by-side comparison spreadsheet for vacation rental investors choosing between prop
ACQ-005,sku,AirDNA Data Integrator,27,2700,copy/etsy-listings/ACQ-005-airdna-data-integrator.md,Translate AirDNA's projection into your actual deal math. Workbook that ingests AirDNA Rentalizer / Market Score CSV exports and adjusts for your specific prope
ACQ-006,sku,Rehab Budget + ROI Projection,27,2700,copy/etsy-listings/ACQ-006-rehab-budget-roi.md,"Rehab dollars to revenue lift, line by line, contractor by contractor. Detailed pre-launch rehab budget with ROI projection for Airbnb / STR investors. Catches "
ACQ-007,sku,Furniture / Setup Budget Calculator,27,2700,copy/etsy-listings/ACQ-007-furniture-setup-budget.md,Every room. Every item. No surprise spend. Pre-launch furniture + setup budget for new Airbnb / STR properties. 200+ items across every room with cost benchmark
ACQ-008,sku,5-Year Pro Forma Builder,47,4700,copy/etsy-listings/ACQ-008-5-year-pro-forma.md,"Five years out. Three scenarios. Sign the offer. 5-year property-level pro forma for Airbnb / STR investors with IRR, equity multiple, and exit value across con"
ACQ-009,sku,BRRRR-to-STR Refi Math,47,4700,copy/etsy-listings/ACQ-009-brrrr-to-str-refi.md,Did this BRRRR actually return all my cash? BRRRR-to-STR refi math workbook for Airbnb / vacation rental investors. ARV + cash-out + post-refi DSCR + capital-re
ACQ-010,sku,Seller-Finance Offer Calculator,27,2700,copy/etsy-listings/ACQ-010-seller-finance-offer.md,What does this seller-finance deal actually cost vs going to a bank? Seller-finance offer calculator for Airbnb / STR investors. Side-by-side compare + draft te
ACQ-011,sku,1031 Exchange Tracker,47,4700,copy/etsy-listings/ACQ-011-1031-exchange-tracker.md,45-day ID. 180-day close. Don't miss the deadline that costs you the deferral. 1031 exchange tracker for STR / real estate investors — record-keeping support fo
